0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone_pop,Black-alone_pop,Native_American-American_Indian-alone_pop,Asian-alone_pop,Hawaiian-Pacific_Islander-alone_pop,Two_or_more_races_pop,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less_than_a_high_school_diploma_2014-18,High_school_diploma_only_2014-18,Some_college_or_associate's_degree_2014-18,Bachelor's_degree_or_higher_2014-18,POVALL_2018,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active_Physicians_per_100000_Population_2018_(AAMC),Total_Active_Patient_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Patient_Care_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_General_Surgeons_per_100000_Population_2018_(AAMC),Active_Patient_Care_General_Surgeons_per_100000_Population_2018_(AAMC),Total_nurse_practitioners_(2019),Total_physician_assistants_(2019),Total_Hospitals_(2019),Internal_Medicine_Primary_Care_(2019),Family_Medicine-General_Practice_Primary_Care_(2019),Total_Specialist_Physicians_(2019),ICU_Beds_x,Total_Population,Population_Aged_60+,COUNTY_NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,county_pop2018_18_and_older,anycondition_number,Obesity_prevalence,Obesity_number,Heart_disease_prevalence,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_prevalence,CKD_number,Urban_rural_code
5244.0,6182.0,5894.0,5837.0,6679.0,8017.0,8042.0,5681.0,2826.0,52593.0,822.0,135.0,294.0,25.0,533.0,54402.0,-13.0,1785.0,9.5,12.2,-2.7,0.3,2.3,2.6,5994.0,13236.0,11733.0,8981.0,8022.0,15.2,20.5,17.2,45510.0,26683.0,25785.0,898.0,45510.0,62.7,263.2,231.8,90.3,81.7,7.3,6.3,28.60074727,13.42536194,0.613146882,27.13174953,23.8169242,75.05939748,14.0,54457.0,15381.0,64.0,46.0,51.0,191.0,44341.0,21921.0,32.5,14411.0,9.3,9.9,4403.0,12.4,5498.0,3.5,1551.0,3.0
19985.0,21134.0,14435.0,18617.0,18864.0,18758.0,13074.0,7639.0,3843.0,129175.0,2178.0,606.0,1822.0,63.0,2505.0,136349.0,2094.0,1105.0,12.8,6.2,6.6,0.4,8.5,8.9,4727.0,24875.0,31554.0,24210.0,6639.0,4.9,4.7,3.6,87377.0,74674.0,72455.0,2219.0,87377.0,124.3,302.7,265.0,104.9,96.0,7.4,6.6,69.98264001,44.03074434,3.086040028,78.12298182,85.1941444,228.0024692,3.0,131130.0,22152.0,623.0,23.0,27.0,171.0,98346.0,38764.0,33.4,32848.0,5.3,4.8,4695.0,8.1,7922.0,2.4,2317.0,2.0
2592.0,2882.0,3743.0,2095.0,1876.0,1896.0,1841.0,1109.0,709.0,17067.0,525.0,419.0,267.0,39.0,426.0,18743.0,-162.0,1078.0,13.5,8.3,5.2,2.4,-16.3,-13.9,2085.0,3236.0,2841.0,2735.0,3979.0,22.6,27.6,29.0,41700.0,7875.0,7533.0,342.0,41700.0,88.0,244.8,213.8,91.1,82.1,7.7,7.3,9.141495675,4.75858679,0.366733192,8.756873059,10.15224813,25.88599656,0.0,19313.0,3425.0,1053.0,31.0,35.0,41.0,14191.0,6323.0,33.8,4797.0,6.8,6.9,980.0,10.9,1551.0,3.2,457.0,5.0
4643.0,6633.0,5894.0,5368.0,6640.0,9542.0,8496.0,6013.0,2704.0,49943.0,3659.0,290.0,926.0,26.0,1089.0,55933.0,410.0,478.0,7.7,9.0,-1.3,0.9,7.9,8.8,2897.0,13849.0,12616.0,11397.0,5690.0,10.3,15.2,14.0,62657.0,24698.0,23369.0,1329.0,62657.0,102.9,320.5,273.3,100.8,88.2,8.7,7.2,30.58459935,24.75854544,0.869103994,45.31569369,31.46243806,116.9010383,0.0,55687.0,15643.0,54.0,38.0,42.0,103.0,45892.0,21072.0,32.3,14823.0,8.0,7.9,3611.0,12.1,5554.0,3.3,1499.0,2.0
5313.0,5795.0,5246.0,5205.0,5601.0,6569.0,5738.0,3299.0,1827.0,42814.0,608.0,158.0,383.0,63.0,567.0,44593.0,189.0,683.0,10.9,9.9,0.9,0.6,2.8,3.4,3679.0,13118.0,7971.0,5977.0,5065.0,11.6,16.6,14.7,57193.0,23195.0,22476.0,719.0,57193.0,102.6,230.8,212.0,80.3,74.4,6.5,6.1,23.00992771,5.630868495,0.87961496,17.53232545,22.14364025,58.01460487,0.0,44339.0,10052.0,58.0,14.0,18.0,145.0,34423.0,17393.0,38.0,13081.0,7.9,9.9,3406.0,12.9,4457.0,3.1,1063.0,2.0
343.0,434.0,334.0,301.0,303.0,399.0,397.0,316.0,201.0,2636.0,279.0,47.0,13.0,2.0,51.0,3028.0,-31.0,43.0,5.9,11.5,-5.6,0.3,-5.3,-4.9,503.0,600.0,682.0,299.0,718.0,24.1,38.8,35.9,32597.0,1128.0,1079.0,49.0,32597.0,53.8,224.8,199.9,72.9,66.5,6.2,5.4,1.0444346,0.616427411,0.055175686,1.145713107,1.014051048,3.57618627,0.0,3102.0,955.0,388.0,43.0,48.0,191.0,2334.0,1348.0,41.5,969.0,13.2,12.6,293.0,19.9,464.0,5.1,120.0,6.0
3695.0,4203.0,5946.0,4878.0,4540.0,4976.0,4698.0,2984.0,1597.0,26568.0,2518.0,6034.0,369.0,23.0,2005.0,37517.0,-197.0,4641.0,8.4,9.9,-1.5,1.0,-4.8,-3.8,2649.0,9074.0,8767.0,5462.0,5608.0,17.1,22.4,20.3,47380.0,16312.0,15231.0,1081.0,47380.0,83.7,287.0,249.7,97.8,87.6,7.9,6.7,16.58929073,14.19848118,0.54046558,27.83022415,22.60572354,76.20189357,6.0,38023.0,8659.0,843.0,22.0,26.0,33.0,30640.0,15789.0,40.1,12287.0,9.0,10.0,3079.0,12.6,3868.0,3.4,1048.0,5.0
47171.0,51000.0,48146.0,54009.0,54806.0,56719.0,54973.0,32884.0,16367.0,371060.0,4854.0,4484.0,19709.0,1178.0,14790.0,416075.0,3254.0,2917.0,10.1,8.4,1.7,0.7,5.4,6.2,19201.0,60819.0,100447.0,105014.0,30022.0,7.3,7.9,7.4,81061.0,218998.0,210750.0,8248.0,81061.0,128.3,303.4,271.5,109.4,101.0,9.2,8.3,208.597815,114.9720465,6.05638587,255.0632017,196.3857582,611.7942579,54.0,399962.0,94656.0,1358.0,37.0,41.0,5.0,326560.0,126175.0,27.2,88824.0,6.7,6.6,21452.0,9.6,31351.0,2.8,9027.0,2.0
846.0,851.0,705.0,713.0,762.0,1038.0,949.0,584.0,394.0,6672.0,28.0,17.0,31.0,1.0,93.0,6842.0,115.0,90.0,10.5,9.4,1.0,0.7,15.3,16.1,714.0,2101.0,1320.0,644.0,1001.0,14.9,23.2,22.7,46832.0,3187.0,3064.0,123.0,46832.0,86.1,273.1,236.3,86.6,79.0,7.0,6.3,3.816093556,0.742669656,0.13624917,4.256111368,3.055555157,12.1339937,0.0,6807.0,1916.0,117.0,25.0,29.0,45.0,5277.0,2580.0,35.3,1863.0,9.6,11.0,582.0,13.0,687.0,3.5,184.0,5.0
48796.0,52497.0,52669.0,46464.0,49698.0,56900.0,51656.0,30710.0,17502.0,306705.0,82406.0,2300.0,4281.0,107.0,11093.0,406892.0,-781.0,5860.0,11.4,11.2,0.2,0.5,-2.6,-2.1,26624.0,88970.0,104807.0,58329.0,75251.0,18.8,28.9,25.8,48370.0,181781.0,172887.0,8894.0,48370.0,85.4,287.0,249.7,97.8,87.6,7.9,6.7,179.9197612,153.9901486,5.86163928,301.8337171,245.171204,826.4504326,151.0,410881.0,93094.0,846.0,22.0,26.0,49.0,315342.0,150226.0,35.8,112892.0,8.5,10.5,33114.0,12.6,39651.0,3.5,11059.0,3.0
