0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone_pop,Black-alone_pop,Native_American-American_Indian-alone_pop,Asian-alone_pop,Hawaiian-Pacific_Islander-alone_pop,Two_or_more_races_pop,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less_than_a_high_school_diploma_2014-18,High_school_diploma_only_2014-18,Some_college_or_associate's_degree_2014-18,Bachelor's_degree_or_higher_2014-18,POVALL_2018,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active_Physicians_per_100000_Population_2018_(AAMC),Total_Active_Patient_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Patient_Care_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_General_Surgeons_per_100000_Population_2018_(AAMC),Active_Patient_Care_General_Surgeons_per_100000_Population_2018_(AAMC),Total_nurse_practitioners_(2019),Total_physician_assistants_(2019),Total_Hospitals_(2019),Internal_Medicine_Primary_Care_(2019),Family_Medicine-General_Practice_Primary_Care_(2019),Total_Specialist_Physicians_(2019),ICU_Beds_x,Total_Population,Population_Aged_60+,COUNTY_NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,county_pop2018_18_and_older,Obesity_prevalence,Obesity_number,Heart_disease_prevalence,Heart_disease_number,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_prevalence,CKD_number,Urban_rural_code
1143,1095,1658,1786,1836,1633,1339,788,349,4438,6929,32,98,1,129,11627,-89,3413,11.2,9.9,1.3,0.1,-9.2,-9.1,2113,3625,2290,793,2183,26.7,27.2,26.7,43533,4388,4227,161,43533,60.0,263.2,231.8,90.3,81.7,7.3,6.3,6.11265925,2.869318835,0.131044057,5.798699529,5.090242595,16.04197666,0,11606,2403,1702,46,51,81,9611,41.1,3950,8.8,846,9.6,923,16.7,1607,3.9,376,6
579,549,481,506,421,731,759,505,458,4868,24,33,12,0,52,4989,-22,137,12.2,14.2,-2.0,0.2,-2.2,-2.0,357,1586,1158,549,549,11.3,15.4,16.1,51058,2517,2421,96,51058,72.6,302.7,265.0,104.9,96.0,7.4,6.6,2.560659712,1.611081735,0.11291798,2.858514227,3.117247552,8.342593776,0,5039,1693,897,23,27,11,3937,36.5,1437,9.3,365,7.5,295,12.1,478,3.7,144,6
3998,4402,4823,4000,4263,5138,4809,2732,1286,17966,16841,153,95,16,380,35451,-184,1843,10.8,12.4,-1.6,0.3,-3.8,-3.5,4592,9831,6736,3362,7019,20.9,33.3,32.9,40285,14591,13861,730,40285,90.0,191.3,174.8,65.9,61.2,7.1,6.7,24.76144087,1.270121847,1.175159466,13.99508091,13.02171651,40.13347631,0,35981,7858,47,24,28,93,28016,39.7,11122,8.8,2476,9.8,2747,16.6,4659,3.8,1067,2
3084,3551,3140,3116,3506,4647,5255,3501,1690,28763,218,1702,158,11,638,31490,-50,729,8.9,13.1,-4.2,0.7,2.0,2.7,2710,9099,6645,4854,5613,18.3,26.8,25.1,39522,13961,13274,687,39522,71.1,330.2,305.7,128.9,119.7,12.1,11.7,25.88082522,13.08158075,0.79995278,18.94005846,26.30432963,52.79688345,0,31822,9959,64,19,23,29,25552,35.0,8943,9.8,2515,10.7,2729,13.0,3317,3.9,992,6
1648,1357,1030,962,904,1130,1072,700,535,5949,45,2997,25,1,321,9338,-87,589,17.4,11.5,5.9,0.0,-15.1,-15.1,694,2196,1852,1003,1857,20.9,28.4,27.2,47412,3872,3747,125,47412,83.1,240.4,219.1,92.8,84.8,9.2,8.6,5.00645973,4.276130509,0.603315443,3.588139215,5.726204469,10.13993324,0,9319,2183,1441,41,46,23,6563,35.8,2350,10.1,665,8.4,555,13.8,909,4.0,260,6
1908,2044,1744,1690,1670,2210,2078,1467,950,14808,432,53,234,17,217,15761,0,249,12.2,11.9,0.3,2.3,-2.5,-0.2,1167,3700,3842,2170,1762,11.4,17.0,16.2,53811,8806,8569,237,53811,89.6,218.2,193.1,84.8,77.9,6.9,6.5,9.597988052,4.259668995,0.589262534,6.382012867,10.79149437,20.40945742,0,15904,4425,379,15,19,67,12121,37.8,4582,8.7,1058,8.3,1001,12.0,1454,3.4,418,6
2292,3440,4537,2149,2241,2456,2365,1648,933,16013,5399,144,141,12,352,22061,-119,2758,10.1,10.9,-0.8,0.2,-4.8,-4.6,1422,4021,4090,3642,3838,19.9,26.4,25.1,45408,9580,9214,366,45408,96.4,207.6,188.2,79.9,75.0,7.0,6.5,9.552513832,1.5298662,0.644154189,6.58062064,12.33408874,26.62259985,0,22495,5000,117,3,5,19,17877,32.8,5864,7.6,1352,7.7,1377,11.8,2101,3.1,546,5
4242,4211,4148,4274,4376,5349,4853,3442,1749,30102,4857,194,402,45,1044,36644,713,601,10.6,9.1,1.5,1.0,17.1,18.2,2904,8726,7325,6070,3387,9.4,12.9,11.5,63681,16967,16459,508,63681,87.7,263.2,231.8,90.3,81.7,7.3,6.3,19.26483921,9.043030824,0.413002359,18.2753544,16.04256039,50.55837214,0,35265,9382,194,46,51,137,28922,32.4,9371,8.0,2307,8.3,2414,12.2,3516,3.2,936,6
2043,2593,2469,2364,2789,3823,4684,3100,1548,23659,175,751,109,13,706,25413,15,390,7.5,14.4,-6.9,0.0,7.5,7.5,1821,7339,6222,3972,3359,13.4,25.9,24.1,48589,10682,9699,983,48589,85.8,287.0,249.7,97.8,87.6,7.9,6.7,11.23713637,9.617666717,0.366096751,18.85144031,15.31250506,51.61709949,0,25475,8824,842,22,26,31,21250,36.2,7693,10.8,2290,11.5,2450,14.0,2977,3.9,821,6
1856,1981,1926,2187,2068,2969,4620,3094,1335,19817,259,634,464,45,817,22036,352,282,8.9,15.6,-6.7,0.8,21.8,22.6,1962,4923,6532,2943,3354,15.4,21.0,20.1,46365,8403,7825,578,46365,62.6,278.8,246.3,100.6,91.7,6.9,6.1,8.880966602,5.579481158,0.269031586,10.96011288,12.9164404,32.50895809,0,20940,8028,1768,47,53,49,18524,39.0,7224,10.7,1978,9.7,1793,14.5,2695,4.2,774,6
5244,6182,5894,5837,6679,8017,8042,5681,2826,52593,822,135,294,25,533,54402,-13,1785,9.5,12.2,-2.7,0.3,2.3,2.6,5994,13236,11733,8981,8022,15.2,20.5,17.2,45510,26683,25785,898,45510,62.7,263.2,231.8,90.3,81.7,7.3,6.3,28.60074727,13.42536194,0.613146882,27.13174953,23.8169242,75.05939748,14,54457,15381,64,46,51,191,44341,32.5,14411,9.3,4123,9.9,4403,12.4,5498,3.5,1551,3
19985,21134,14435,18617,18864,18758,13074,7639,3843,129175,2178,606,1822,63,2505,136349,2094,1105,12.8,6.2,6.6,0.4,8.5,8.9,4727,24875,31554,24210,6639,4.9,4.7,3.6,87377,74674,72455,2219,87377,124.3,302.7,265.0,104.9,96.0,7.4,6.6,69.98264001,44.03074434,3.086040028,78.12298182,85.1941444,228.0024692,3,131130,22152,623,23,27,171,98346,33.4,32848,5.3,5256,4.8,4695,8.1,7922,2.4,2317,2
2592,2882,3743,2095,1876,1896,1841,1109,709,17067,525,419,267,39,426,18743,-162,1078,13.5,8.3,5.2,2.4,-16.3,-13.9,2085,3236,2841,2735,3979,22.6,27.6,29.0,41700,7875,7533,342,41700,88.0,244.8,213.8,91.1,82.1,7.7,7.3,9.141495675,4.75858679,0.366733192,8.756873059,10.15224813,25.88599656,0,19313,3425,1053,31,35,41,14191,33.8,4797,6.8,971,6.9,980,10.9,1551,3.2,457,5
